,GENDER,OWN_CAR,OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,EDUCATION,CNT_FAM_MEMBERS,AVERGE_STATUS,Civil marriage,Married,Separated,Single / not married,Widow,DAYS_BIRTH_NORMALIZED,DAYS_EMPLOYED_NORMALIZED
16918,-1,1,1,0,202500.0,1,2.0,0.391304347826087,0,1,0,0,0,-1.5146048654398565,-0.4612486044842902
31251,1,-1,1,0,229500.0,1,1.0,0.4166666666666667,0,0,0,1,0,0.12041914140567932,-0.45972286713883304
26075,-1,1,-1,0,112500.0,3,2.0,0.18181818181818182,0,1,0,0,0,-1.3093936403523707,-0.45603751123193165
8975,-1,1,1,0,157500.0,1,2.0,0.625,0,1,0,0,0,-0.7858907587196781,-0.4644106398524116
13526,-1,-1,-1,0,180000.0,3,1.0,0.5294117647058824,0,0,0,1,0,1.2417008933338205,2.2228550682064934
1687,1,1,1,0,243000.0,1,2.0,1.0,0,1,0,0,0,-0.5813937258308728,-0.4505610723542762
20170,-1,-1,-1,0,171000.0,1,2.0,1.0,0,1,0,0,0,0.364910937420584,-0.4570988937331193
12811,-1,-1,-1,0,175500.0,1,1.0,1.0,0,0,0,1,0,0.635113652587981,-0.464395898428784
21753,-1,-1,1,2,360000.0,3,4.0,0.17391304347826086,0,1,0,0,0,-1.2594001864447466,-0.4555141906931517
21094,1,-1,1,0,180000.0,1,2.0,0.3125,0,1,0,0,0,0.6227343211441885,-0.38883873162549193
21687,-1,-1,1,0,157500.0,1,2.0,0.5,0,1,0,0,0,0.29420590975122984,-0.4454236862200557
12739,-1,-1,1,0,56700.0,1,2.0,0.13333333333333333,0,1,0,0,0,1.1238591805515636,2.2228550682064934
20971,1,-1,-1,0,135000.0,1,1.0,1.0,0,0,0,1,0,-1.620781438977001,-0.462265762714595
9430,-1,-1,-1,0,94500.0,1,2.0,0.9166666666666666,0,1,0,0,0,1.3183575226588442,2.2228550682064934
12575,1,-1,1,2,135000.0,1,4.0,0.08695652173913043,0,1,0,0,0,-0.6242452577516934,-0.46506663320384006
30744,-1,1,-1,1,67500.0,3,3.0,0.07894736842105263,0,1,0,0,0,-0.49973775111508667,-0.4296651043621454
27403,1,1,-1,1,193500.0,3,3.0,0.75,0,1,0,0,0,0.46585010150073936,-0.439770350258869
29583,-1,1,-1,0,135000.0,2,2.0,0.14285714285714285,1,0,0,0,0,-1.4062857153066708,-0.4676316409150434
35614,1,-1,-1,0,112500.0,2,2.0,1.0,1,0,0,0,0,-1.7683811600376056,-0.4619488221066015
8358,1,1,1,0,135000.0,1,2.0,0.08823529411764706,0,1,0,0,0,0.07042568749805518,-0.44631554234952586
27002,-1,-1,1,0,450000.0,1,2.0,1.0,0,1,0,0,0,-0.7087580012622009,-0.4685013849090721
473,1,-1,-1,0,279000.0,3,1.0,0.125,0,0,0,1,0,-1.1744113148017856,-0.44585118750525626
9147,-1,-1,1,0,157500.0,1,2.0,0.625,0,1,0,0,0,1.67592975013147,2.2228550682064934
27866,-1,-1,1,0,112500.0,1,2.0,0.5294117647058824,0,1,0,0,0,1.1981351692143194,2.2228550682064934
20642,-1,-1,-1,0,202500.0,3,2.0,0.17142857142857143,0,1,0,0,0,-1.1108482091192349,-0.44924908565141936
12832,-1,-1,1,0,99000.0,1,2.0,0.23214285714285715,0,1,0,0,0,1.874475181364606,2.2228550682064934
27642,1,-1,-1,0,157500.0,3,2.0,0.13333333333333333,0,1,0,0,0,-0.9546781816744663,-0.44067694781196676
17211,1,-1,1,0,157500.0,1,2.0,0.0,1,0,0,0,0,-1.5862621493741178,-0.4611748973661522
2154,-1,1,-1,1,306000.0,3,3.0,1.0,0,1,0,0,0,-1.5867382775065713,-0.4568777723787052
27871,-1,-1,1,0,94500.0,1,2.0,1.0,0,1,0,0,0,1.9782711142394827,2.2228550682064934
26527,-1,1,-1,1,315000.0,3,3.0,0.45714285714285713,0,1,0,0,0,-1.178458403927641,-0.4540253069067635
9692,1,-1,-1,0,90000.0,1,2.0,0.6923076923076923,0,1,0,0,0,-1.0663302287348269,-0.45644290038169083
24239,-1,-1,1,0,112500.0,1,2.0,1.0,0,1,0,0,0,-0.03456056570795549,-0.4093219397560498
25366,1,-1,-1,1,112500.0,1,3.0,0.32432432432432434,0,1,0,0,0,-0.36261284896846047,-0.4565534610588979
7195,-1,-1,1,0,337500.0,1,1.0,1.0,0,0,1,0,0,1.120050155491935,2.2228550682064934
2080,-1,-1,1,0,202500.0,3,2.0,1.0,0,1,0,0,0,1.231464138486069,2.2228550682064934
17752,1,-1,1,2,135000.0,1,4.0,1.0,0,1,0,0,0,0.07256826409409622,-0.4657447386907099
9289,-1,1,1,0,126000.0,1,2.0,0.25,0,1,0,0,0,-0.3704689631539443,-0.451504523466443
33918,1,1,-1,0,360000.0,2,1.0,0.075,0,0,0,1,0,-1.5572183332944505,-0.4599513592050609
9738,-1,1,-1,0,315000.0,3,2.0,1.0,0,1,0,0,0,0.837944237013199,-0.4568777723787052
19545,-1,-1,1,0,225000.0,1,2.0,1.0,1,0,0,0,0,-0.34856706906108037,-0.46782327942220225
5882,-1,-1,1,0,139500.0,3,2.0,0.5416666666666666,0,1,0,0,0,-1.5507906035063272,-0.4659584893333102
13158,1,1,-1,1,157500.0,1,2.0,0.43859649122807015,0,0,1,0,0,-0.24977048157696602,-0.4582708369115139
19416,-1,-1,1,0,405000.0,3,2.0,1.0,0,1,0,0,0,0.3546741825728324,-0.4130294077983926
708,1,1,-1,0,1350000.0,3,2.0,1.0,0,1,0,0,0,-0.7085199371959741,-0.4577475163727339
7502,-1,-1,1,0,247500.0,1,2.0,1.0,0,1,0,0,0,0.40014441922214766,-0.4602167048303578
13819,-1,-1,-1,0,148500.0,1,1.0,1.0,0,0,0,0,1,1.1302869103396866,2.2228550682064934
31370,1,1,1,0,184500.0,1,2.0,0.6,0,1,0,0,0,-0.875402847620948,-0.4604009726257029
7524,-1,1,1,0,270000.0,3,1.0,0.5263157894736842,0,0,0,1,0,-1.2608285708421074,-0.4604378261847719
651,-1,-1,-1,0,238500.0,1,2.0,0.5641025641025641,0,1,0,0,0,0.7927120644301104,-0.4449519606639723
17837,-1,-1,-1,1,202500.0,1,2.0,0.18181818181818182,0,0,1,0,0,-0.9289672625219738,-0.4587794160266663
36393,-1,-1,-1,1,112500.0,1,3.0,1.0,0,1,0,0,0,-1.4069999075053512,-0.46561943658987526
35701,-1,-1,1,0,180000.0,1,2.0,1.0,0,1,0,0,0,-1.286301425928373,-0.4682360392837752
16872,-1,-1,-1,0,122400.0,1,2.0,1.0,0,1,0,0,0,1.1848035815056197,-0.46073265465732405
4031,-1,-1,1,2,184500.0,1,4.0,1.0,0,1,0,0,0,-1.443423709638049,-0.45666402173610493
34624,-1,-1,1,0,202500.0,1,2.0,0.34782608695652173,0,1,0,0,0,0.047095409007830595,-0.46427796703976315
28842,-1,-1,-1,1,202500.0,3,3.0,0.25,0,1,0,0,0,-0.9151595466808204,-0.46340085233392064
18376,1,1,-1,0,225000.0,1,2.0,0.5737704918032787,0,1,0,0,0,0.4253792102421865,-0.4509369786567802
1292,-1,-1,1,0,67500.0,1,2.0,0.625,0,1,0,0,0,-0.07146049597310662,-0.46715991535896
5438,-1,-1,1,0,112500.0,1,2.0,1.0,0,1,0,0,0,1.354543260725315,2.2228550682064934
34963,1,1,1,0,144000.0,1,2.0,0.5581395348837209,0,1,0,0,0,-1.3351045595048632,-0.45163719627909144
26796,-1,-1,1,1,175500.0,1,3.0,0.6,0,1,0,0,0,0.1735074281742516,-0.46827289284284423
18501,-1,1,1,0,202500.0,1,2.0,0.5,0,1,0,0,0,-0.985388446217721,-0.43500149971533864
25836,-1,1,1,1,135000.0,1,3.0,0.7878787878787878,0,1,0,0,0,-1.1465578190532522,-0.46293649748965104
4519,-1,-1,1,0,180000.0,1,1.0,0.13636363636363635,0,0,0,0,1,1.6864045690454486,2.2228550682064934
518,1,1,-1,0,81000.0,1,2.0,1.0,0,1,0,0,0,-0.3666599380943158,-0.44428859660073006
4611,-1,-1,1,0,157500.0,1,2.0,1.0,0,1,0,0,0,0.9395975932920347,-0.4609316638762967
20724,1,-1,-1,0,157500.0,0,2.0,1.0,0,1,0,0,0,-0.2776239773254995,-0.4674178902724431
29673,-1,1,-1,0,144000.0,1,2.0,0.5,0,1,0,0,0,-0.11455009196015409,-0.44498144351122754
5257,-1,-1,1,1,157500.0,1,3.0,1.0,0,1,0,0,0,0.10708755369697955,-0.44829826382743876
920,-1,1,1,0,180000.0,1,2.0,0.14285714285714285,0,1,0,0,0,1.1114798491077709,-0.44069905994740816
2987,-1,-1,1,0,112500.0,3,2.0,0.1896551724137931,1,0,0,0,0,-1.1287030140862435,-0.45059055520153146
13451,-1,1,-1,0,225000.0,3,2.0,0.1320754716981132,1,0,0,0,0,-0.36594574589563544,-0.4513128849592841
7141,-1,-1,-1,0,63000.0,3,2.0,0.28,0,1,0,0,0,-0.28690847590834395,-0.4544749203274055
22374,-1,1,1,3,54000.0,1,5.0,1.0,0,1,0,0,0,-0.8332655078988076,-0.45408427260127393
21322,-1,1,1,0,135000.0,1,2.0,1.0,0,1,0,0,0,-0.4235572499225166,-0.43057170191524313
21047,-1,-1,1,0,112500.0,1,2.0,0.35294117647058826,0,1,0,0,0,0.6189252960845599,-0.43893008911209547
19417,-1,-1,1,0,405000.0,3,2.0,1.0,0,1,0,0,0,0.3546741825728324,-0.4130294077983926
194,-1,-1,1,0,315000.0,1,1.0,0.8571428571428571,0,0,0,1,0,-1.290586579120455,-0.4604451968965857
