GENDER,OWN_CAR,OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,EDUCATION,CNT_FAM_MEMBERS,AVERGE_STATUS,Civil marriage,Married,Separated,Single / not married,Widow,DAYS_BIRTH_NORMALIZED,DAYS_EMPLOYED_NORMALIZED
1,1,-1,0,112500.0,1,2.0,0.23333333333333334,0,1,0,0,0,-0.9458698112240753,-0.45257327667944436
-1,-1,1,0,148500.0,1,2.0,0.5333333333333333,0,1,0,0,0,0.7858082065095338,2.2228550682064934
-1,-1,1,0,121500.0,1,2.0,1.0,0,1,0,0,0,-1.3934302557304246,-0.4675431923732778
-1,-1,1,2,85500.0,3,4.0,0.2857142857142857,0,1,0,0,0,-0.9082556887602439,-0.46587004079154454
1,-1,1,0,270000.0,1,2.0,0.3076923076923077,0,1,0,0,0,0.5901195440711193,-0.4138328153860971
1,-1,1,1,135000.0,1,2.0,0.15384615384615385,0,0,1,0,0,0.17922096576369437,-0.4627596004061198
1,1,-1,0,202500.0,1,1.0,1.0,0,0,0,1,0,-1.0910888916224122,-0.4636588272474037
-1,-1,1,2,225000.0,3,4.0,1.0,0,1,0,0,0,-0.14240358770868752,-0.4667324140737595
1,1,1,1,270000.0,1,3.0,1.0,0,1,0,0,0,-0.35404254258429635,-0.45723156654576774
-1,-1,1,0,180000.0,1,1.0,0.5789473684210527,0,0,0,1,0,0.03757284635875933,-0.4254048329337674
1,1,1,0,405000.0,3,2.0,0.22857142857142856,0,1,0,0,0,-1.3455793784188417,-0.4499198204264754
1,1,1,0,306000.0,1,2.0,0.8888888888888888,0,1,0,0,0,0.8774628720068447,-0.466526034142973
-1,-1,1,0,144000.0,1,2.0,0.175,0,1,0,0,0,0.6498736246940415,-0.4298493721574905
1,-1,-1,0,202500.0,1,1.0,1.0,0,0,1,0,0,-0.38356248679641725,-0.4224270653609911
-1,-1,1,1,112500.0,2,3.0,1.0,0,1,0,0,0,-0.36951670688903715,-0.43555430310137383
-1,-1,-1,1,81000.0,1,3.0,1.0,0,1,0,0,0,-0.5513976534862982,-0.4465514051275675
1,-1,-1,1,112500.0,1,3.0,1.0,0,1,0,0,0,-1.6979141964344784,-0.46559732445443386
-1,-1,1,0,103500.0,1,2.0,1.0,0,1,0,0,0,-0.045273448688160654,-0.4596049357498122
1,-1,1,0,135000.0,3,2.0,1.0,0,1,0,0,0,0.7470037637145684,-0.4484899023345976
1,1,-1,2,315000.0,2,4.0,1.0,0,1,0,0,0,-1.165364880285168,-0.4644032691405978
-1,-1,-1,3,112500.0,2,5.0,1.0,0,1,0,0,0,-0.12573910307281283,-0.4510401686221734
1,1,-1,1,171000.0,3,3.0,1.0,0,1,0,0,0,-0.13216683286093592,-0.4577254042372925
-1,-1,-1,1,360000.0,3,3.0,1.0,1,0,0,0,0,-0.27857623359040656,-0.4550793186961373
1,1,1,0,450000.0,3,2.0,0.017241379310344827,0,1,0,0,0,0.5682176499782554,-0.4534651328089145
1,-1,-1,1,270000.0,1,3.0,1.0,0,1,0,0,0,0.7155793069726333,2.2228550682064934
-1,1,1,0,720000.0,3,1.0,1.0,0,0,1,0,0,1.146475266843108,-0.43376322013061974
-1,1,1,0,112500.0,1,2.0,1.0,0,1,0,0,0,0.01947997732552393,-0.44691257000644385
